NAMESPACE         NAME                     CLASS       HOSTNAME
acestream         acestream                tailscale   acestream-1.tabby-carp.ts.net
argocd            ingress-argocd           tailscale   argocd.tabby-carp.ts.net
home-assistant    esphome                  tailscale   esphome.tabby-carp.ts.net
home-assistant    home-assistant           tailscale   home-assistant.tabby-carp.ts.net
homepage          homepage                 tailscale   homepage.tabby-carp.ts.net
longhorn-system   longhorn-ingress         tailscale   longhorn.tabby-carp.ts.net
media             bazarr                   tailscale   bazarr.tabby-carp.ts.net
media             jackett                  tailscale   jackett.tabby-carp.ts.net
media             jellyseerr               tailscale   jellyseerr.tabby-carp.ts.net
media             qbitt                    tailscale   qbitt.tabby-carp.ts.net
media             radarr                   tailscale   radarr-1.tabby-carp.ts.net
minio             minio                    tailscale   minio.tabby-carp.ts.net
minio             minio-console            tailscale   minio-console.tabby-carp.ts.net
monitoring        monitoring-grafana       tailscale   grafana.tabby-carp.ts.net
opencost          opencost-ingress         tailscale   opencost.tabby-carp.ts.net
roomio-dev        dev-roomio-ingress       traefik     <none>
roomio-prod       prod-roomio-ingress      traefik     <none>
roomio-staging    staging-roomio-ingress   traefik     <none>
uptime-kuma       ingress-kuma             tailscale   uptime-kuma.tabby-carp.ts.net
